index,eXirt_mlp_x_test_original,eXirt_mlp_x_test_4%_permute,eXirt_mlp_x_test_6%_permute,eXirt_mlp_x_test_10%_permute
start,0,0,0,0
size,1,4,2,2
id,2,1,4,4
end,3,3,1,1
event,4,2,3,3
