index,skater_lgbm_x_test_original,skater_lgbm_x_test_4%_permute,skater_lgbm_x_test_6%_permute,skater_lgbm_x_test_10%_permute
V1,0,0,0,0
V2,1,2,2,2
V3,2,1,1,1
V4,3,3,3,3
V5,4,4,4,4
