index,eXirt_knn_x_test_original,eXirt_knn_x_test_4%_permute,eXirt_knn_x_test_6%_permute,eXirt_knn_x_test_10%_permute
start,0,0,0,0
end,1,1,2,1
size,2,3,1,2
id,3,2,3,3
event,4,4,4,4
