index,eXirt_lgbm_x_test_20%_permute,shap_lgbm_x_test_20%_permute,skater_lgbm_x_test_20%_permute,eli5_lgbm_x_test_20%_permute,dalex_lgbm_x_test_20%_permute
plas,0,0,0,0,0
mass,1,1,1,6,1
pedi,2,4,4,7,4
age,3,2,2,4,5
preg,4,3,3,1,2
insu,5,5,5,2,3
pres,6,6,6,3,6
skin,7,7,7,5,7
