index,dalex_mlp_x_test_original,dalex_mlp_x_test_4%_permute,dalex_mlp_x_test_6%_permute,dalex_mlp_x_test_10%_permute
V1,0,2,3,4
V3,1,0,2,2
V2,2,3,1,0
V4,3,4,4,1
V5,4,1,0,3
