index,eli5_dt_x_test_original,eli5_dt_x_test_4%_permute,eli5_dt_x_test_6%_permute,eli5_dt_x_test_10%_permute
start,0,0,4,4
size,1,1,0,0
id,2,2,1,1
event,3,3,2,2
end,4,4,3,3
