index,lofo_mlp_x_test_original,lofo_mlp_x_test_4%_permute,lofo_mlp_x_test_6%_permute,lofo_mlp_x_test_10%_permute
start,0,0,0,0
id,1,2,2,2
event,2,3,3,4
end,3,4,4,3
size,4,1,1,1
