index,dalex_lgbm_x_test_original,dalex_lgbm_x_test_4%_permute,dalex_lgbm_x_test_6%_permute,dalex_lgbm_x_test_10%_permute
start,0,0,4,2
size,1,3,0,4
id,2,1,2,1
end,3,4,3,0
event,4,2,1,3
