index,shap_dt_x_test_original,shap_dt_x_test_4%_permute,shap_dt_x_test_6%_permute,shap_dt_x_test_10%_permute
V4,0,0,0,0
V1,1,1,1,1
V2,2,2,2,2
V3,3,3,3,3
V5,4,4,4,4
