index,eXirt_lgbm_x_test_original,eXirt_lgbm_x_test_5%_permute,eXirt_lgbm_x_test_10%_permute,eXirt_lgbm_x_test_15%_permute
plas,0,0,0,0
mass,1,1,1,1
pedi,2,3,2,2
age,3,2,4,4
preg,4,4,3,5
insu,5,5,5,6
pres,6,6,7,7
skin,7,7,6,3
