index,eXirt_lgbm_x_test_original,eXirt_lgbm_x_test_4%_permute,eXirt_lgbm_x_test_6%_permute,eXirt_lgbm_x_test_10%_permute
start,0,0,0,0
size,1,1,4,1
end,2,2,1,2
event,3,4,3,4
id,4,3,2,3
