index,skater_dt_x_test_original,skater_dt_x_test_4%_permute,skater_dt_x_test_6%_permute,skater_dt_x_test_10%_permute
start,0,0,0,0
size,1,1,1,1
id,2,2,2,2
event,3,3,3,3
end,4,4,4,4
