index,eli5_lgbm_x_test_original,eli5_lgbm_x_test_4%_permute,eli5_lgbm_x_test_6%_permute,eli5_lgbm_x_test_10%_permute
start,0,0,1,1
end,1,3,3,3
size,2,4,2,4
id,3,1,4,2
event,4,2,0,0
