Unnamed: 0,Discriminacao,Dificuldade,Adivinhacao
V182,-0.008,495.794,0.113
V183,-1876.551,1.004,0.087
V184,-1416.836,1.694,0.157
V185,0.0,-43775403.326,0.096
V186,0.0,-43764658.364,0.096
V187,-0.008,500.357,0.113
V188,0.0,-43753918.675,0.097
V189,-112.558,0.603,0.862
V190,-3.707,0.257,0.929
V191,0.0,-43743184.256,0.097
V192,0.0,-43732455.102,0.097
V193,-547.617,2.794,0.512
V194,0.0,-43721731.211,0.098
V195,-0.939,3.397,0.0
V196,26.463,1.003,0.868
V197,-1878.246,0.678,0.084
V198,0.0,-43711012.578,0.098
V199,-204.574,3.777,0.0
V200,-5.883,0.041,0.941
V201,-204.556,3.777,0.0
V202,0.0,-43700299.198,0.099
V203,-204.538,3.777,0.0
V204,-0.965,4.291,0.0
V205,-837.705,2.668,0.0
V206,-0.966,3.479,0.0
V207,-204.52,3.777,0.0
V208,-3.954,0.228,0.929
V209,0.0,-43689591.069,0.099
V210,0.0,-43678888.187,0.1
V211,-838.099,2.669,0.0
V212,-1810.395,1.688,0.296
V213,0.575,-3.489,0.0
V214,0.0,-43668190.547,0.1
V215,0.0,-43657498.146,0.1
V216,-1810.16,1.688,0.296
V217,-204.502,3.777,0.0
V218,0.0,-43646810.98,0.101
V219,-0.931,4.482,0.0
V220,-204.484,3.777,0.0
V221,-1829.993,1.765,0.173
V222,0.0,-43636129.045,0.101
V223,0.0,-43625452.337,0.102
V224,-838.875,2.67,0.0
V225,-1763.043,-0.679,0.173
V226,-71.275,0.329,0.85
V227,-0.957,4.316,0.0
V228,-1.36,3.241,0.0
V229,-1420.91,1.042,0.083
V230,-204.466,3.777,0.0
