,Discriminacao,Dificuldade,Adivinhacao
V0,12.584,-0.252,0.14
V1,2.16,-3.601,0.16
V2,7.098,-1.675,0.51
V3,2.155,-3.608,0.161
V4,2.153,-3.61,0.162
V5,2.154,-3.607,0.163
V6,2.158,-3.599,0.165
V7,12.586,-0.252,0.14
V8,12.588,-0.252,0.14
V9,12.59,-0.252,0.14
V10,11.087,-0.023,0.273
V11,7.093,-1.675,0.509
V12,6.624,-1.994,0.014
V13,7.088,-1.675,0.509
V14,12.591,-0.252,0.14
V15,12.593,-0.252,0.14
V16,7.082,-1.674,0.508
V17,2.164,-3.586,0.166
V18,11.086,-0.024,0.273
V19,4.078,-3.0,0.127
V20,11.085,-0.024,0.273
V21,12.595,-0.252,0.139
V22,2.174,-3.569,0.168
V23,2.185,-3.548,0.169
V24,2.199,-3.524,0.171
V25,12.597,-0.252,0.139
V26,2.214,-3.498,0.173
V27,2.23,-3.471,0.175
V28,4.063,-3.008,0.125
V29,12.599,-0.252,0.139
V30,7.075,-1.674,0.507
V31,11.085,-0.024,0.274
V32,11.084,-0.025,0.274
V33,4.032,-3.029,0.123
V34,2.248,-3.443,0.176
V35,2.265,-3.415,0.178
V36,7.068,-1.675,0.506
V37,12.601,-0.252,0.139
V38,3.991,-3.06,0.121
V39,12.602,-0.252,0.139
V40,12.604,-0.252,0.139
V41,3.952,-3.09,0.12
V42,2.283,-3.388,0.18
V43,12.606,-0.252,0.139
V44,2.3,-3.361,0.182
V45,3.935,-3.105,0.12
V46,0.0,-2193496000.0,0.05
V47,0.0,-2194995000.0,0.051
V48,11.512,-0.143,0.002
V49,0.0,-2196496000.0,0.051
V50,0.0,-2197999000.0,0.052
V51,11.513,-0.143,0.002
V52,4.759,-1.513,0.575
V53,11.516,-0.144,0.002
V54,11.518,-0.144,0.002
V55,0.0,-2199504000.0,0.053
V56,11.519,-0.144,0.002
V57,5.159,-2.126,0.252
V58,11.522,-0.145,0.002
V59,0.0,-2201011000.0,0.053
V60,11.524,-0.145,0.002
V61,2.421,-2.591,0.44
V62,3.261,-3.74,0.074
V63,0.0,-2202520000.0,0.054
V64,0.0,-2204031000.0,0.055
V65,0.0,-2205545000.0,0.055
V66,3.249,-3.751,0.075
V67,2.495,-2.52,0.454
V68,0.0,-2207060000.0,0.056
V69,0.0,-2208577000.0,0.057
V70,3.231,-3.772,0.075
V71,3.23,-3.771,0.076
V72,2.651,-2.384,0.479
V73,3.241,-3.757,0.077
V74,10.684,-0.103,0.144
V75,3.24,-3.757,0.078
V76,0.0,-2210097000.0,0.057
V77,11.53,-0.146,0.002
V78,10.686,-0.103,0.144
V79,11.532,-0.146,0.002
V80,0.0,-2211619000.0,0.058
V81,11.533,-0.146,0.002
V82,11.535,-0.146,0.002
V83,0.0,-2213143000.0,0.059
V84,0.0,-2214668000.0,0.059
V85,0.0,-2216196000.0,0.06
V86,11.536,-0.147,0.002
V87,3.519,-2.033,0.626
V88,0.0,-2217727000.0,0.061
V89,0.0,-2219259000.0,0.061
V90,11.54,-0.147,0.002
V91,0.0,-2220793000.0,0.062
V92,3.225,-3.775,0.078
V93,3.614,-2.011,0.631
V94,3.207,-3.796,0.079
V95,11.543,-0.148,0.002
V96,3.196,-3.81,0.08
V97,3.841,-1.931,0.653
V98,3.192,-3.814,0.081
V99,3.195,-3.811,0.082
V100,0.0,-2222330000.0,0.063
V101,3.204,-3.799,0.082
V102,0.0,-2223868000.0,0.063
V103,3.938,-1.9,0.663
V104,5.267,-2.12,0.281
V105,0.0,-2225409000.0,0.064
V106,4.109,-1.849,0.679
V107,11.551,-0.149,0.002
V108,0.0,-2226952000.0,0.064
V109,5.289,-2.116,0.285
V110,0.0,-2228497000.0,0.065
V111,11.554,-0.149,0.002
V112,3.22,-3.778,0.083
V113,3.238,-3.755,0.084
V114,11.556,-0.149,0.002
V115,5.323,-2.107,0.289
V116,0.0,-2230044000.0,0.066
V117,0.0,-2231593000.0,0.066
V118,0.0,-2233145000.0,0.067
V119,11.559,-0.15,0.002
V120,10.687,-0.104,0.143
V121,10.688,-0.104,0.143
V122,0.0,-2234698000.0,0.068
V123,3.24,-3.752,0.085
V124,11.561,-0.15,0.002
V125,0.0,-2236254000.0,0.068
V126,0.0,-2237812000.0,0.069
V127,3.229,-3.765,0.086
V128,0.0,-2239372000.0,0.07
V129,0.0,-2240934000.0,0.07
V130,0.0,-2242499000.0,0.071
V131,3.233,-3.759,0.086
V132,10.689,-0.104,0.143
V133,11.563,-0.15,0.002
V134,10.69,-0.105,0.143
V135,0.0,-2244065000.0,0.072
V136,0.0,-2245634000.0,0.072
V137,3.227,-3.769,0.087
V138,5.389,-2.084,0.293
V139,4.551,-1.741,0.721
V140,11.568,-0.151,0.002
V141,4.607,-1.726,0.725
V142,10.692,-0.105,0.143
V143,3.076,-3.976,0.089
V144,3.077,-3.991,0.092
V145,3.067,-4.029,0.097
V146,0.0,-2247205000.0,0.073
V147,0.0,-2248778000.0,0.074
V148,4.634,-1.719,0.727
V149,4.661,-1.712,0.728
V150,0.0,-2250354000.0,0.074
V151,0.0,-2251932000.0,0.075
V152,3.268,-3.793,0.106
