Unnamed: 0,Discriminacao,Dificuldade,Adivinhacao
V195,0.0,59624294.919,0.07
V196,-0.029,44.35,0.145
V197,7.172,-0.226,0.37
V198,7.401,-0.704,0.06
V199,5.406,-0.513,0.059
V200,0.513,-2.199,0.197
V201,7.402,-0.704,0.06
V202,0.0,59624151.592,0.07
V203,7.402,-0.704,0.061
V204,2.088,-0.822,0.125
V205,3.795,-0.476,0.156
V206,4.135,-0.222,0.269
V207,0.839,-4.074,0.081
V208,1.371,0.071,0.581
V209,0.839,-4.073,0.082
V210,7.781,-0.429,0.337
V211,4.145,-0.221,0.27
V212,0.0,59624008.265,0.071
V213,3.206,-0.629,0.249
V214,0.839,-4.072,0.082
V215,0.839,-4.071,0.083
V216,3.215,-0.627,0.25
V217,3.803,-0.475,0.157
V218,0.839,-4.07,0.083
V219,2.089,-0.821,0.126
V220,7.785,-0.429,0.337
V221,0.0,59623864.938,0.071
V222,4.245,-0.637,0.076
V223,0.839,-4.069,0.084
V224,5.625,-0.242,0.065
V225,7.115,-0.092,0.421
V226,1.363,0.128,0.589
V227,3.366,-0.888,0.173
V228,5.623,1.14,0.895
V229,7.788,-0.428,0.338
V230,2.401,-0.985,0.105
