Unnamed: 0,Discriminacao,Dificuldade,Adivinhacao
V192,0.0,391551310.686,0.083
V193,-8.622,2.39,0.005
V194,-5.978,2.545,0.453
V195,-0.346,0.812,0.086
V196,7.869,1.098,0.526
V197,-0.625,2.71,0.009
V198,-5.865,2.736,0.054
V199,0.0,391550999.216,0.084
V200,0.0,391550687.747,0.084
V201,-8.62,2.39,0.005
V202,-1.713,2.668,0.052
V203,-0.409,7.062,0.108
V204,-4.412,1.681,0.596
V205,-0.319,4.77,0.069
V206,-0.275,14.435,0.102
V207,-3.52,3.076,0.159
V208,0.025,-99.049,0.115
V209,0.0,391550376.278,0.085
V210,-3.528,3.071,0.161
V211,-3.535,3.065,0.163
V212,-0.937,3.48,0.148
V213,-0.562,4.734,0.106
V214,-3.543,3.06,0.165
V215,0.0,391550064.81,0.085
V216,2.025,0.916,0.448
V217,-0.802,3.004,0.065
V218,-1.064,3.73,0.111
V219,-0.431,2.501,0.27
V220,-0.062,29.546,0.118
V221,-2.817,0.966,0.546
V222,0.0,391549753.342,0.086
V223,0.0,391549441.875,0.086
V224,-3.552,3.054,0.166
V225,-17.889,0.36,0.51
V226,0.0,391549130.408,0.087
V227,-0.628,2.788,0.08
V228,-2.359,0.806,0.002
V229,0.024,-100.698,0.114
V230,-0.311,3.47,0.193
