index,eXirt_knn_x_test_original,eXirt_knn_x_test_4%_permute,eXirt_knn_x_test_6%_permute,eXirt_knn_x_test_10%_permute
V15,0,1,0,1
V16,1,2,4,0
V2,2,4,5,3
V5,3,3,2,2
V6,4,8,10,10
V1,5,6,3,5
V13,6,0,1,4
V14,7,7,6,6
V11,8,5,8,7
V9,9,9,7,11
V8,10,10,9,8
V7,11,14,12,19
V19,12,13,11,14
V20,13,11,15,9
V4,14,15,14,12
V3,15,16,13,13
V12,16,12,16,15
V10,17,18,18,16
V18,18,17,19,18
V17,19,19,17,17
