index,shap_dt_x_test_original,shap_dt_x_test_4%_permute,shap_dt_x_test_6%_permute,shap_dt_x_test_10%_permute
V3,0,0,0,0
V16,1,1,1,1
V1,2,3,3,2
V2,3,2,2,4
V8,4,4,8,5
V7,5,5,5,9
V14,6,10,11,7
V4,7,14,13,11
V12,8,16,12,14
V5,9,12,10,13
V18,10,8,18,3
V13,11,7,4,16
V6,12,13,14,10
V9,13,9,7,6
V10,14,6,6,8
V11,15,17,19,17
V20,16,18,16,12
V15,17,15,17,15
V19,18,19,15,19
V17,19,11,9,18
