index,dalex_mlp_x_test_original,dalex_mlp_x_test_4%_permute,dalex_mlp_x_test_6%_permute,dalex_mlp_x_test_10%_permute
V3,0,5,0,16
V6,1,10,19,15
V16,2,0,7,1
V15,3,6,3,7
V18,4,19,1,6
V5,5,14,16,5
V20,6,8,15,14
V1,7,15,18,12
V7,8,9,9,17
V17,9,7,11,10
V10,10,3,13,2
V2,11,18,8,19
V8,12,4,5,3
V13,13,17,2,4
V9,14,16,17,9
V12,15,13,4,11
V4,16,11,10,18
V19,17,2,6,8
V14,18,12,12,13
V11,19,1,14,0
