index,shap_mlp_x_test_original,shap_mlp_x_test_4%_permute,shap_mlp_x_test_6%_permute,shap_mlp_x_test_10%_permute
V7,0,5,10,11
V17,1,15,13,5
V16,2,2,1,7
V4,3,17,17,1
V9,4,18,9,17
V14,5,13,18,18
V3,6,0,0,6
V1,7,1,2,8
V12,8,11,3,13
V2,9,9,12,15
V6,10,3,4,12
V15,11,8,6,0
V8,12,10,5,14
V18,13,4,7,10
V19,14,14,16,3
V10,15,7,11,4
V11,16,12,14,2
V13,17,6,15,16
V5,18,16,8,9
V20,19,19,19,19
