,mlp_x_test_original,mlp_x_test_1%_permute,mlp_x_test_2%_permute,mlp_x_test_3%_permute,mlp_x_test_4%_permute,mlp_x_test_5%_permute,mlp_x_test_6%_permute,mlp_x_test_7%_permute,mlp_x_test_8%_permute,mlp_x_test_9%_permute,mlp_x_test_10%_permute,lgbm_x_test_original,lgbm_x_test_1%_permute,lgbm_x_test_2%_permute,lgbm_x_test_3%_permute,lgbm_x_test_4%_permute,lgbm_x_test_5%_permute,lgbm_x_test_6%_permute,lgbm_x_test_7%_permute,lgbm_x_test_8%_permute,lgbm_x_test_9%_permute,lgbm_x_test_10%_permute,knn_x_test_original,knn_x_test_1%_permute,knn_x_test_2%_permute,knn_x_test_3%_permute,knn_x_test_4%_permute,knn_x_test_5%_permute,knn_x_test_6%_permute,knn_x_test_7%_permute,knn_x_test_8%_permute,knn_x_test_9%_permute,knn_x_test_10%_permute,dt_x_test_original,dt_x_test_1%_permute,dt_x_test_2%_permute,dt_x_test_3%_permute,dt_x_test_4%_permute,dt_x_test_5%_permute,dt_x_test_6%_permute,dt_x_test_7%_permute,dt_x_test_8%_permute,dt_x_test_9%_permute,dt_x_test_10%_permute
accuracy,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.889,0.901,0.889,0.889,0.889,0.889,0.901,0.889,0.889,0.889,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914
precision,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.924,0.911,0.918,0.911,0.911,0.911,0.911,0.918,0.911,0.911,0.911,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914,0.914
recall,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.986,0.973,0.98,0.973,0.973,0.973,0.973,0.98,0.973,0.973,0.973,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
f1,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.954,0.941,0.948,0.941,0.941,0.941,0.941,0.948,0.941,0.941,0.941,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955,0.955
roc_auc,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.565,0.486,0.526,0.486,0.486,0.486,0.486,0.526,0.486,0.486,0.486,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
