index,eXirt_lgbm_x_test_original,eXirt_lgbm_x_test_4%_permute,eXirt_lgbm_x_test_6%_permute,eXirt_lgbm_x_test_10%_permute
V1,0,0,0,0
V18,1,1,1,1
V17,2,2,2,2
V16,3,3,3,3
V15,4,4,4,4
V14,5,5,5,5
V13,6,6,6,6
V12,7,7,7,7
V11,8,8,8,8
V10,9,9,9,9
V9,10,10,10,10
V8,11,11,11,11
V7,12,12,12,12
V6,13,13,13,13
V5,14,14,14,14
V4,15,15,15,15
V3,16,16,16,16
V2,17,17,17,17
V19,18,18,18,18
V20,19,19,19,19
