index,eli5_dt_x_test_original,eli5_dt_x_test_4%_permute,eli5_dt_x_test_6%_permute,eli5_dt_x_test_10%_permute
V9,0,0,0,0
V8,1,1,1,1
V7,2,2,2,2
V6,3,3,3,3
V5,4,4,4,4
V4,5,5,5,5
V3,6,6,6,6
V20,7,7,7,7
V2,8,8,8,8
V19,9,9,9,9
V18,10,10,10,10
V17,11,11,11,11
V16,12,12,12,12
V15,13,13,13,13
V14,14,14,14,14
V13,15,15,15,15
V12,16,16,16,16
V11,17,17,17,17
V10,18,18,18,18
V1,19,19,19,19
