index,dalex_knn_x_test_original,dalex_knn_x_test_4%_permute,dalex_knn_x_test_6%_permute,dalex_knn_x_test_10%_permute
V16,0,4,9,6
V11,1,18,8,4
V18,2,12,12,19
V10,3,14,14,9
V2,4,8,0,11
V4,5,16,4,10
V5,6,1,2,3
V15,7,3,6,5
V3,8,13,5,8
V20,9,19,15,15
V17,10,7,3,16
V19,11,15,10,0
V14,12,17,7,1
V6,13,2,11,2
V12,14,9,1,7
V7,15,0,19,18
V13,16,5,13,17
V8,17,6,17,12
V9,18,11,18,14
V1,19,10,16,13
