index,skater_dt_x_test_original,skater_dt_x_test_4%_permute,skater_dt_x_test_6%_permute,skater_dt_x_test_10%_permute
V3,0,0,0,0
V16,1,1,1,1
V9,2,2,2,2
V8,3,3,3,3
V7,4,4,4,4
V6,5,5,5,5
V5,6,6,6,6
V4,7,7,7,7
V20,8,8,8,8
V2,9,9,9,9
V19,10,10,10,10
V18,11,11,11,11
V17,12,12,12,12
V15,13,13,13,13
V14,14,14,14,14
V13,15,15,15,15
V12,16,16,16,16
V11,17,17,17,17
V10,18,18,18,18
V1,19,19,19,19
