index,dalex_lgbm_x_test_original,dalex_lgbm_x_test_4%_permute,dalex_lgbm_x_test_6%_permute,dalex_lgbm_x_test_10%_permute
V3,0,1,0,19
V15,1,0,15,3
V16,2,2,17,0
V8,3,19,3,1
V4,4,17,1,9
V11,5,12,10,6
V18,6,18,2,2
V19,7,14,12,4
V17,8,16,4,16
V6,9,8,11,13
V5,10,9,8,15
V12,11,5,13,11
V20,12,6,14,10
V2,13,7,7,8
V7,14,11,5,14
V1,15,10,6,12
V13,16,13,9,17
V10,17,15,19,7
V14,18,4,16,18
V9,19,3,18,5
