index,eli5_knn_x_test_original,eli5_knn_x_test_4%_permute,eli5_knn_x_test_6%_permute,eli5_knn_x_test_10%_permute
V16,0,0,0,1
V5,1,18,18,0
V15,2,15,8,15
V20,3,13,19,18
V17,4,17,17,17
V14,5,3,3,12
V11,6,10,12,3
V19,7,12,5,10
V1,8,6,9,14
V12,9,5,14,8
V7,10,11,1,19
V18,11,9,10,11
V13,12,14,6,7
V2,13,7,11,6
V9,14,16,16,9
V6,15,19,13,16
V4,16,2,4,2
V10,17,4,15,5
V8,18,1,2,13
V3,19,8,7,4
