index,dalex_dt_x_test_original,dalex_dt_x_test_4%_permute,dalex_dt_x_test_6%_permute,dalex_dt_x_test_10%_permute
V3,0,0,0,19
V16,1,1,19,0
V9,2,2,1,1
V8,3,3,2,2
V7,4,4,3,3
V6,5,5,4,4
V5,6,6,5,5
V4,7,7,6,6
V20,8,8,7,7
V2,9,9,8,8
V19,10,10,9,9
V18,11,11,10,10
V17,12,12,11,11
V15,13,13,12,12
V14,14,14,13,13
V13,15,15,14,14
V12,16,16,15,15
V11,17,17,16,16
V10,18,18,17,17
V1,19,19,18,18
