index,lofo_knn_x_test_original,lofo_knn_x_test_4%_permute,lofo_knn_x_test_6%_permute,lofo_knn_x_test_10%_permute
V14,0,13,17,11
V19,1,18,14,8
V7,2,14,6,14
V17,3,2,3,0
V1,4,19,4,19
V5,5,16,11,3
V4,6,5,0,6
V3,7,6,1,7
V12,8,3,9,1
V9,9,10,5,2
V13,10,4,18,17
V20,11,11,12,4
V8,12,9,10,13
V6,13,15,7,5
V2,14,7,13,15
V18,15,0,15,9
V11,16,1,2,12
V10,17,8,19,18
V16,18,17,16,10
V15,19,12,8,16
