index,skater_mlp_x_test_original,skater_mlp_x_test_4%_permute,skater_mlp_x_test_6%_permute,skater_mlp_x_test_10%_permute
V3,0,0,0,0
V16,1,1,1,1
V1,2,2,2,2
V15,3,4,5,7
V6,4,5,3,4
V5,5,6,8,8
V12,6,3,4,3
V18,7,9,9,9
V19,8,7,6,5
V10,9,8,7,6
V8,10,10,10,10
V11,11,12,12,12
V17,12,13,13,13
V13,13,11,11,11
V2,14,14,14,15
V9,15,15,16,16
V7,16,16,15,14
V14,17,17,17,17
V20,18,18,18,18
V4,19,19,19,19
