index,lofo_mlp_x_test_original,lofo_mlp_x_test_4%_permute,lofo_mlp_x_test_6%_permute,lofo_mlp_x_test_10%_permute
V11,0,15,3,17
V3,1,19,13,4
V10,2,16,4,18
V4,3,1,5,13
V12,4,12,17,2
V20,5,2,2,5
V1,6,17,18,19
V9,7,8,9,3
V15,8,10,16,9
V16,9,7,0,7
V2,10,5,14,0
V17,11,6,19,15
V19,12,13,1,6
V14,13,11,6,1
V13,14,3,8,16
V18,15,0,15,14
V6,16,18,11,11
V8,17,14,10,10
V7,18,9,7,8
V5,19,4,12,12
