index,eli5_mlp_x_test_original,eli5_mlp_x_test_4%_permute,eli5_mlp_x_test_6%_permute,eli5_mlp_x_test_10%_permute
V13,0,15,0,15
V9,1,0,1,0
V8,2,1,2,1
V7,3,2,3,2
V6,4,3,4,3
V5,5,4,5,4
V4,6,5,6,5
V3,7,6,7,6
V20,8,7,8,7
V2,9,8,9,8
V19,10,9,10,9
V18,11,10,11,10
V17,12,11,12,11
V16,13,12,13,12
V15,14,13,14,13
V14,15,14,15,14
V12,16,16,16,16
V11,17,17,17,17
V10,18,18,18,18
V1,19,19,19,19
