index,shap_lgbm_x_test_original,shap_lgbm_x_test_4%_permute,shap_lgbm_x_test_6%_permute,shap_lgbm_x_test_10%_permute
V3,0,0,0,0
V15,1,1,1,1
V16,2,2,2,2
V4,3,3,3,3
V7,4,13,13,13
V14,5,11,7,9
V9,6,8,12,7
V10,7,5,5,14
V6,8,16,8,10
V18,9,12,17,8
V13,10,10,11,5
V5,11,9,15,4
V12,12,14,9,18
V1,13,15,10,6
V11,14,7,14,15
V2,15,6,6,12
V8,16,4,4,11
V17,17,18,16,19
V19,18,17,19,17
V20,19,19,18,16
