,mlp_x_test_0%,mlp_x_test_2%,mlp_x_test_3%,mlp_x_test_4%,mlp_x_test_5%,mlp_x_test_6%,mlp_x_test_7%,mlp_x_test_8%,mlp_x_test_9%,lgbm_x_test_0%,lgbm_x_test_2%,lgbm_x_test_3%,lgbm_x_test_4%,lgbm_x_test_5%,lgbm_x_test_6%,lgbm_x_test_7%,lgbm_x_test_8%,lgbm_x_test_9%,knn_x_test_0%,knn_x_test_2%,knn_x_test_3%,knn_x_test_4%,knn_x_test_5%,knn_x_test_6%,knn_x_test_7%,knn_x_test_8%,knn_x_test_9%,dt_x_test_0%,dt_x_test_2%,dt_x_test_3%,dt_x_test_4%,dt_x_test_5%,dt_x_test_6%,dt_x_test_7%,dt_x_test_8%,dt_x_test_9%
accuracy,0.7359307359307359,0.7359307359307359,0.7316017316017316,0.7402597402597403,0.7445887445887446,0.7359307359307359,0.7316017316017316,0.7489177489177489,0.7575757575757576,0.7619047619047619,0.7619047619047619,0.7489177489177489,0.7445887445887446,0.7662337662337663,0.7532467532467533,0.7619047619047619,0.7575757575757576,0.7662337662337663,0.7489177489177489,0.7575757575757576,0.7619047619047619,0.7402597402597403,0.7532467532467533,0.7402597402597403,0.7575757575757576,0.7402597402597403,0.7489177489177489,0.7662337662337663,0.7662337662337663,0.7662337662337663,0.7662337662337663,0.7532467532467533,0.7662337662337663,0.7532467532467533,0.7662337662337663,0.7662337662337663
precision,0.6470588235294118,0.6470588235294118,0.6417910447761194,0.6567164179104478,0.671875,0.65625,0.6376811594202898,0.6716417910447762,0.6923076923076923,0.696969696969697,0.696969696969697,0.676923076923077,0.6617647058823529,0.6956521739130435,0.6764705882352942,0.696969696969697,0.6923076923076923,0.7014925373134329,0.7346938775510204,0.7450980392156863,0.75,0.723404255319149,0.74,0.7058823529411765,0.7551020408163265,0.7142857142857143,0.7169811320754716,0.6956521739130435,0.6956521739130435,0.6956521739130435,0.7014925373134329,0.6764705882352942,0.7014925373134329,0.6764705882352942,0.7014925373134329,0.7076923076923077
recall,0.5432098765432098,0.5432098765432098,0.5308641975308642,0.5432098765432098,0.5308641975308642,0.5185185185185185,0.5432098765432098,0.5555555555555556,0.5555555555555556,0.5679012345679012,0.5679012345679012,0.5432098765432098,0.5555555555555556,0.5925925925925926,0.5679012345679012,0.5679012345679012,0.5555555555555556,0.5802469135802469,0.4444444444444444,0.4691358024691358,0.48148148148148145,0.41975308641975306,0.4567901234567901,0.4444444444444444,0.4567901234567901,0.43209876543209874,0.4691358024691358,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5802469135802469,0.5679012345679012,0.5802469135802469,0.5679012345679012,0.5802469135802469,0.5679012345679012
f1,0.5906040268456375,0.5906040268456375,0.5810810810810811,0.5945945945945946,0.593103448275862,0.5793103448275861,0.5866666666666667,0.608108108108108,0.6164383561643836,0.6258503401360545,0.6258503401360545,0.6027397260273973,0.6040268456375839,0.6399999999999999,0.6174496644295301,0.6258503401360545,0.6164383561643836,0.6351351351351352,0.5538461538461538,0.5757575757575758,0.5864661654135339,0.53125,0.564885496183206,0.5454545454545455,0.5692307692307692,0.5384615384615384,0.5671641791044776,0.6399999999999999,0.6399999999999999,0.6399999999999999,0.6351351351351352,0.6174496644295301,0.6351351351351352,0.6174496644295301,0.6351351351351352,0.6301369863013698
roc_auc,0.691604938271605,0.691604938271605,0.6854320987654321,0.6949382716049384,0.6954320987654321,0.6859259259259259,0.6882716049382717,0.7044444444444444,0.7111111111111112,0.7172839506172839,0.7172839506172839,0.7016049382716049,0.7011111111111111,0.7262962962962962,0.7106172839506171,0.7172839506172839,0.7111111111111112,0.7234567901234568,0.6788888888888889,0.6912345679012345,0.6974074074074074,0.6665432098765433,0.6850617283950617,0.6722222222222223,0.6883950617283952,0.6693827160493826,0.6845679012345679,0.7262962962962962,0.7262962962962962,0.7262962962962962,0.7234567901234568,0.7106172839506171,0.7234567901234568,0.7106172839506171,0.7234567901234568,0.7206172839506172
