,skater_dt_x_test_0%,eli5_dt_x_test_0%,shap_dt_x_test_0%,dalex_dt_x_test_0%,lofo_dt_x_test_0%,skater_dt_x_test_1%,eli5_dt_x_test_1%,shap_dt_x_test_1%,dalex_dt_x_test_1%,lofo_dt_x_test_1%,skater_dt_x_test_2%,eli5_dt_x_test_2%,shap_dt_x_test_2%,dalex_dt_x_test_2%,lofo_dt_x_test_2%,skater_dt_x_test_3%,eli5_dt_x_test_3%,shap_dt_x_test_3%,dalex_dt_x_test_3%,lofo_dt_x_test_3%,skater_dt_x_test_4%,eli5_dt_x_test_4%,shap_dt_x_test_4%,dalex_dt_x_test_4%,lofo_dt_x_test_4%,skater_dt_x_test_5%,eli5_dt_x_test_5%,shap_dt_x_test_5%,dalex_dt_x_test_5%,lofo_dt_x_test_5%,skater_dt_x_test_50%,eli5_dt_x_test_50%,shap_dt_x_test_50%,dalex_dt_x_test_50%,lofo_dt_x_test_50%
0,plas,plas,plas,plas,plas,plas,plas,plas,plas,age,plas,plas,plas,plas,pres,plas,plas,plas,plas,plas,plas,plas,plas,plas,plas,plas,plas,plas,plas,plas,plas,mass,plas,skin,preg
1,mass,mass,mass,mass,age,mass,mass,mass,age,pedi,mass,mass,mass,age,pedi,mass,mass,mass,preg,age,mass,mass,mass,age,mass,mass,skin,mass,mass,age,mass,skin,mass,pedi,insu
2,insu,skin,age,age,pedi,insu,skin,age,mass,plas,insu,insu,age,skin,age,insu,preg,age,skin,mass,insu,age,insu,mass,insu,insu,mass,insu,age,skin,preg,pedi,age,pres,pedi
3,age,preg,insu,skin,mass,age,preg,insu,insu,pres,age,skin,insu,mass,insu,age,skin,insu,mass,preg,age,insu,age,insu,pres,age,preg,age,insu,preg,age,plas,preg,insu,age
4,skin,pedi,skin,preg,preg,skin,age,skin,skin,preg,skin,pres,skin,insu,preg,skin,pedi,skin,insu,skin,skin,skin,skin,skin,pedi,skin,pedi,preg,preg,insu,insu,age,insu,preg,plas
5,preg,insu,preg,insu,pres,preg,pedi,preg,preg,mass,preg,pedi,preg,pedi,mass,preg,age,preg,age,insu,preg,preg,preg,pedi,preg,preg,insu,skin,pedi,pres,pres,insu,pres,age,skin
6,pedi,age,pres,pedi,insu,pedi,insu,pres,pedi,skin,pedi,age,pres,preg,skin,pedi,insu,pres,pedi,pres,pres,pedi,pres,preg,skin,pedi,pres,pres,skin,mass,skin,preg,skin,plas,mass
7,pres,pres,pedi,pres,skin,pres,pres,pedi,pres,insu,pres,preg,pedi,pres,plas,pres,pres,pedi,pres,pedi,pedi,pres,pedi,pres,age,pres,age,pedi,pres,pedi,pedi,pres,pedi,mass,pres
