Unnamed: 0,Discriminacao,Dificuldade,Adivinhacao
V198,11.269,-0.949,0.0
V199,10.864,-0.934,0.115
V200,1.044,-0.926,0.013
V201,0.692,-1.801,0.061
V202,2.83,-4.969,0.022
V203,15.303,-0.412,0.0
V204,7.855,-1.491,0.004
V205,18.484,0.781,0.466
V206,14.827,-0.406,0.104
V207,14.829,-0.406,0.104
V208,2.837,-4.972,0.022
V209,0.907,-2.525,0.105
V210,17.837,-0.115,0.391
V211,10.318,-0.248,0.0
V212,0.518,-2.026,0.028
V213,10.319,-0.248,0.0
V214,0.62,-5.062,0.041
V215,0.632,-4.959,0.044
V216,14.655,0.668,0.5
V217,17.649,0.818,0.526
V218,1.233,-3.195,0.02
V219,0.62,-5.063,0.042
V220,5.675,0.151,0.0
V221,0.071,-17.546,0.112
V222,2.973,-0.682,0.001
V223,10.445,-1.704,0.001
V224,2.724,-0.857,0.008
V225,3.692,-0.465,0.001
V226,7.854,-1.491,0.004
V227,-9.764,-1.702,0.384
V228,0.715,0.641,0.552
V229,0.715,-5.428,0.035
V230,3.145,-0.971,0.009
