index,shap_mlp_x_test_original,shap_mlp_x_test_4%_permute,shap_mlp_x_test_6%_permute,shap_mlp_x_test_10%_permute
V1,0,0,0,1
V2,1,1,1,0
V3,2,2,2,2
V4,3,3,3,3
V5,4,4,4,4
