index,shap_knn_x_test_original,shap_knn_x_test_4%_permute,shap_knn_x_test_6%_permute,shap_knn_x_test_10%_permute
V2,0,1,1,0
V1,1,0,0,2
V3,2,2,2,1
V4,3,3,3,3
V5,4,4,4,4
