index,lofo_knn_x_test_original,lofo_knn_x_test_4%_permute,lofo_knn_x_test_6%_permute,lofo_knn_x_test_10%_permute
V2,0,2,0,3
V1,1,3,3,4
V3,2,0,4,0
V4,3,4,1,1
V5,4,1,2,2
