index,dalex_lgbm_x_test_original,dalex_lgbm_x_test_4%_permute,dalex_lgbm_x_test_6%_permute,dalex_lgbm_x_test_10%_permute
V1,0,1,0,3
V3,1,0,3,4
V2,2,2,1,0
V4,3,3,4,2
V5,4,4,2,1
