index,eli5_lgbm_x_test_original,eli5_lgbm_x_test_4%_permute,eli5_lgbm_x_test_6%_permute,eli5_lgbm_x_test_10%_permute
V1,0,3,3,0
V2,1,1,0,4
V3,2,0,1,3
V4,3,2,4,2
V5,4,4,2,1
