,mlp_x_test_original,mlp_x_test_1%_permute,mlp_x_test_2%_permute,mlp_x_test_3%_permute,mlp_x_test_4%_permute,mlp_x_test_5%_permute,mlp_x_test_6%_permute,mlp_x_test_7%_permute,mlp_x_test_8%_permute,mlp_x_test_9%_permute,mlp_x_test_10%_permute,lgbm_x_test_original,lgbm_x_test_1%_permute,lgbm_x_test_2%_permute,lgbm_x_test_3%_permute,lgbm_x_test_4%_permute,lgbm_x_test_5%_permute,lgbm_x_test_6%_permute,lgbm_x_test_7%_permute,lgbm_x_test_8%_permute,lgbm_x_test_9%_permute,lgbm_x_test_10%_permute,knn_x_test_original,knn_x_test_1%_permute,knn_x_test_2%_permute,knn_x_test_3%_permute,knn_x_test_4%_permute,knn_x_test_5%_permute,knn_x_test_6%_permute,knn_x_test_7%_permute,knn_x_test_8%_permute,knn_x_test_9%_permute,knn_x_test_10%_permute,dt_x_test_original,dt_x_test_1%_permute,dt_x_test_2%_permute,dt_x_test_3%_permute,dt_x_test_4%_permute,dt_x_test_5%_permute,dt_x_test_6%_permute,dt_x_test_7%_permute,dt_x_test_8%_permute,dt_x_test_9%_permute,dt_x_test_10%_permute
accuracy,0.855,0.584,0.592,0.59,0.588,0.59,0.583,0.585,0.592,0.597,0.581,0.877,0.577,0.58,0.58,0.594,0.586,0.58,0.591,0.598,0.586,0.573,0.859,0.608,0.608,0.613,0.612,0.619,0.599,0.605,0.608,0.608,0.608,0.762,0.637,0.625,0.628,0.635,0.619,0.63,0.624,0.641,0.626,0.625
precision,0.768,0.278,0.294,0.29,0.285,0.29,0.276,0.281,0.294,0.303,0.274,0.795,0.276,0.28,0.28,0.306,0.291,0.28,0.299,0.312,0.291,0.269,0.832,0.286,0.286,0.297,0.294,0.31,0.267,0.281,0.286,0.286,0.286,0.646,0.318,0.286,0.292,0.312,0.269,0.299,0.282,0.328,0.289,0.286
recall,0.725,0.263,0.277,0.273,0.269,0.273,0.261,0.265,0.277,0.286,0.258,0.782,0.271,0.275,0.275,0.3,0.286,0.275,0.294,0.307,0.286,0.265,0.653,0.225,0.225,0.233,0.231,0.244,0.21,0.221,0.225,0.225,0.225,0.418,0.206,0.185,0.189,0.202,0.174,0.193,0.183,0.212,0.187,0.185
f1,0.746,0.27,0.285,0.281,0.277,0.281,0.268,0.272,0.285,0.294,0.266,0.788,0.273,0.278,0.278,0.303,0.288,0.278,0.297,0.309,0.288,0.267,0.732,0.252,0.252,0.261,0.259,0.273,0.235,0.247,0.252,0.252,0.252,0.508,0.25,0.224,0.23,0.245,0.212,0.235,0.222,0.258,0.227,0.224
roc_auc,0.817,0.49,0.5,0.497,0.494,0.497,0.488,0.491,0.5,0.506,0.487,0.849,0.488,0.491,0.491,0.508,0.498,0.491,0.504,0.513,0.498,0.483,0.799,0.496,0.496,0.502,0.5,0.509,0.485,0.493,0.496,0.496,0.496,0.661,0.511,0.496,0.499,0.508,0.489,0.502,0.495,0.516,0.498,0.496
