index,eXirt_lgbm_x_test_original,eXirt_lgbm_x_test_4%_permute,eXirt_lgbm_x_test_6%_permute,eXirt_lgbm_x_test_10%_permute
V1,0,0,0,0
V3,1,2,1,1
V2,2,1,3,2
V4,3,3,2,3
V5,4,4,4,4
