index,eli5_mlp_x_test_original,eli5_mlp_x_test_4%_permute,eli5_mlp_x_test_6%_permute,eli5_mlp_x_test_10%_permute
V3,0,2,2,2
V2,1,1,0,1
V1,2,3,3,3
V4,3,0,1,0
V5,4,4,4,4
