index,eXirt_dt_x_test_original,eXirt_dt_x_test_4%_permute,eXirt_dt_x_test_6%_permute,eXirt_dt_x_test_10%_permute
V1,0,1,1,1
V4,1,0,0,0
V2,2,2,2,2
V3,3,3,3,3
V5,4,4,4,4
