index,dalex_dt_x_test_original,dalex_dt_x_test_4%_permute,dalex_dt_x_test_6%_permute,dalex_dt_x_test_10%_permute
V4,0,4,0,0
V1,1,0,1,2
V2,2,3,3,1
V3,3,1,2,3
V5,4,2,4,4
