index,lofo_lgbm_x_test_original,lofo_lgbm_x_test_4%_permute,lofo_lgbm_x_test_6%_permute,lofo_lgbm_x_test_10%_permute
V1,0,2,4,0
V2,1,1,0,4
V3,2,3,3,1
V5,3,0,2,3
V4,4,4,1,2
