index,eli5_knn_x_test_original,eli5_knn_x_test_4%_permute,eli5_knn_x_test_6%_permute,eli5_knn_x_test_10%_permute
V3,0,0,0,0
V2,1,1,2,1
V1,2,2,1,3
V4,3,3,4,2
V5,4,4,3,4
