index,lofo_mlp_x_test_original,lofo_mlp_x_test_4%_permute,lofo_mlp_x_test_6%_permute,lofo_mlp_x_test_10%_permute
V5,0,0,0,0
V3,1,2,2,3
V1,2,4,4,4
V4,3,1,1,2
V2,4,3,3,1
