index,eli5_knn_x_test_original,eli5_knn_x_test_4%_permute,eli5_knn_x_test_6%_permute,eli5_knn_x_test_10%_permute
V1,0,2,1,2
V2,1,0,0,1
V3,2,1,2,3
V4,3,3,3,0
