index,skater_dt_x_test_original,skater_dt_x_test_4%_permute,skater_dt_x_test_6%_permute,skater_dt_x_test_10%_permute
V1,0,0,0,0
V2,1,1,1,1
V3,2,2,2,2
V4,3,3,3,3
