index,dalex_knn_x_test_original,dalex_knn_x_test_4%_permute,dalex_knn_x_test_6%_permute,dalex_knn_x_test_10%_permute
V1,0,3,2,3
V2,1,0,3,0
V3,2,2,1,2
V4,3,1,0,1
