index,dalex_lgbm_x_test_original,dalex_lgbm_x_test_4%_permute,dalex_lgbm_x_test_6%_permute,dalex_lgbm_x_test_10%_permute
V1,0,3,2,3
V2,1,0,3,2
V3,2,2,1,1
V4,3,1,0,0
