index,eXirt_mlp_x_test_original,eXirt_mlp_x_test_4%_permute,eXirt_mlp_x_test_6%_permute,eXirt_mlp_x_test_10%_permute
V2,0,1,1,1
V1,1,0,0,0
V4,2,3,3,3
V3,3,2,2,2
