index,lofo_mlp_x_test_original,lofo_mlp_x_test_4%_permute,lofo_mlp_x_test_6%_permute,lofo_mlp_x_test_10%_permute
V1,0,0,3,1
V3,1,2,0,3
V2,2,3,1,0
V4,3,1,2,2
