index,eli5_dt_x_test_original,eli5_dt_x_test_4%_permute,eli5_dt_x_test_6%_permute,eli5_dt_x_test_10%_permute
start,0,3,3,3
size,1,0,0,0
event,2,1,1,1
end,3,2,2,2
