,mlp_x_test_original,mlp_x_test_1%_permute,mlp_x_test_2%_permute,mlp_x_test_3%_permute,mlp_x_test_4%_permute,mlp_x_test_5%_permute,mlp_x_test_6%_permute,mlp_x_test_7%_permute,mlp_x_test_8%_permute,mlp_x_test_9%_permute,mlp_x_test_10%_permute,lgbm_x_test_original,lgbm_x_test_1%_permute,lgbm_x_test_2%_permute,lgbm_x_test_3%_permute,lgbm_x_test_4%_permute,lgbm_x_test_5%_permute,lgbm_x_test_6%_permute,lgbm_x_test_7%_permute,lgbm_x_test_8%_permute,lgbm_x_test_9%_permute,lgbm_x_test_10%_permute,knn_x_test_original,knn_x_test_1%_permute,knn_x_test_2%_permute,knn_x_test_3%_permute,knn_x_test_4%_permute,knn_x_test_5%_permute,knn_x_test_6%_permute,knn_x_test_7%_permute,knn_x_test_8%_permute,knn_x_test_9%_permute,knn_x_test_10%_permute,dt_x_test_original,dt_x_test_1%_permute,dt_x_test_2%_permute,dt_x_test_3%_permute,dt_x_test_4%_permute,dt_x_test_5%_permute,dt_x_test_6%_permute,dt_x_test_7%_permute,dt_x_test_8%_permute,dt_x_test_9%_permute,dt_x_test_10%_permute
accuracy,0.915,0.573,0.566,0.568,0.568,0.576,0.565,0.567,0.556,0.559,0.557,0.948,0.583,0.574,0.572,0.579,0.584,0.568,0.573,0.563,0.566,0.565,0.901,0.55,0.547,0.547,0.553,0.554,0.547,0.547,0.539,0.544,0.539,0.937,0.588,0.578,0.581,0.583,0.59,0.576,0.583,0.568,0.572,0.572
precision,0.92,0.675,0.67,0.671,0.671,0.677,0.669,0.671,0.663,0.665,0.664,0.934,0.678,0.672,0.671,0.676,0.679,0.668,0.671,0.664,0.666,0.666,0.945,0.672,0.67,0.669,0.675,0.675,0.67,0.67,0.663,0.668,0.664,0.914,0.676,0.669,0.672,0.673,0.678,0.668,0.673,0.663,0.666,0.666
recall,0.957,0.702,0.697,0.698,0.698,0.704,0.696,0.698,0.69,0.691,0.69,0.993,0.721,0.714,0.713,0.718,0.722,0.71,0.714,0.706,0.708,0.708,0.905,0.644,0.642,0.641,0.646,0.647,0.642,0.642,0.636,0.64,0.636,1.0,0.74,0.733,0.735,0.737,0.742,0.731,0.737,0.725,0.729,0.729
f1,0.938,0.688,0.683,0.684,0.685,0.69,0.682,0.684,0.676,0.678,0.677,0.963,0.699,0.692,0.691,0.696,0.7,0.688,0.692,0.685,0.686,0.686,0.925,0.658,0.655,0.655,0.66,0.661,0.655,0.656,0.649,0.653,0.649,0.955,0.707,0.7,0.702,0.703,0.708,0.698,0.703,0.693,0.696,0.696
roc_auc,0.894,0.505,0.498,0.5,0.5,0.509,0.497,0.499,0.487,0.489,0.488,0.925,0.511,0.501,0.499,0.507,0.512,0.494,0.5,0.489,0.491,0.491,0.899,0.501,0.498,0.497,0.505,0.505,0.498,0.498,0.488,0.495,0.489,0.903,0.508,0.497,0.501,0.503,0.511,0.495,0.503,0.486,0.49,0.49
