index,dalex_lgbm_x_test_original,dalex_lgbm_x_test_4%_permute,dalex_lgbm_x_test_6%_permute,dalex_lgbm_x_test_10%_permute
start,0,0,0,3
end,1,1,3,1
size,2,3,2,2
event,3,2,1,0
