index,shap_mlp_x_test_original,shap_mlp_x_test_4%_permute,shap_mlp_x_test_6%_permute,shap_mlp_x_test_10%_permute
start,0,0,0,0
end,1,1,1,1
size,2,2,2,2
event,3,3,3,3
