index,lofo_lgbm_x_test_original,lofo_lgbm_x_test_4%_permute,lofo_lgbm_x_test_6%_permute,lofo_lgbm_x_test_10%_permute
start,0,0,0,1
size,1,3,3,3
event,2,1,2,0
end,3,2,1,2
