index,dalex_dt_x_test_original,dalex_dt_x_test_4%_permute,dalex_dt_x_test_6%_permute,dalex_dt_x_test_10%_permute
start,0,0,0,3
size,1,1,3,0
event,2,2,1,1
end,3,3,2,2
